Column Name,Description
next.disable_weather_vane,Indicates if the weather vane is disabled for the next waypoint.
next.landing_gear,Landing gear status for the next waypoint.
next.lat,Latitude for the next waypoint.
next.loiter_direction,Loiter direction for the next waypoint.
next.loiter_radius,Loiter radius for the next waypoint.
next.lon,Longitude for the next waypoint.
next.timestamp,Timestamp for the next waypoint.
next.type,Type of the next waypoint.
next.valid,Indicates if the next waypoint is valid.
next.velocity_frame,Velocity frame for the next waypoint.
next.velocity_valid,Indicates if the velocity data for the next waypoint is valid.
next.vx,Velocity along the x-axis for the next waypoint.
next.vy,Velocity along the y-axis for the next waypoint.
next.vz,Velocity along the z-axis for the next waypoint.
next.yaw,Yaw for the next waypoint.
next.yaw_valid,Indicates if the yaw data for the next waypoint is valid.
next.yawspeed,Yaw speed for the next waypoint.
next.yawspeed_valid,Indicates if the yaw speed data for the next waypoint is valid.
noise_per_ms,Noise per millisecond.
nominal_voltage,Nominal voltage.
noutputs,Number of outputs.
offboard_control_signal_lost,Indicates if the offboard control signal is lost.
onboard_control_sensors_enabled,Onboard control sensors enabled.
onboard_control_sensors_health,Health of the onboard control sensors.
onboard_control_sensors_present,Presence of the onboard control sensors.
optical_flow_timestamp_rel,Relative timestamp for the optical flow data.
orientation,Orientation data.
output[0],Output data for the first output channel.
output[10],Output data for the eleventh output channel.
output[11],Output data for the twelfth output channel.
output[12],Output data for the thirteenth output channel.
output[13],Output data for the fourteenth output channel.
output[14],Output data for the fifteenth output channel.
output[15],Output data for the sixteenth output channel.
output[1],Output data for the second output channel.
output[2],Output data for the third output channel.
output[3],Output data for the fourth output channel.
output[4],Output data for the fifth output channel.
output[5],Output data for the sixth output channel.
output[6],Output data for the seventh output channel.
output[7],Output data for the eighth output channel.
output[8],Output data for the ninth output channel.
output[9],Output data for the tenth output channel.
output_tracking_error[0],Tracking error for the first output channel.
output_tracking_error[1],Tracking error for the second output channel.
output_tracking_error[2],Tracking error for the third output channel.
over_discharge_count,Count of over discharge events.
parachute_system_healthy,Indicates if the parachute system is healthy.
parachute_system_present,Indicates if the parachute system is present.
param1,Parameter 1.
param2,Parameter 2.
param3,Parameter 3.
param4,Parameter 4.
param5,Parameter 5.
param6,Parameter 6.
param7,Parameter 7.
pitch,Pitch angle.
pitch_body,Body pitch angle.
pitch_reset_integral,Pitch reset integral.
pitchspeed_integ,Integrated pitch speed.
pos_horiz_accuracy,Horizontal position accuracy.
pos_test_ratio,Test ratio for position.
pos_vert_accuracy,Vertical position accuracy.
position,Position data.
position_drift_rate_horizontal_m_s,Horizontal position drift rate in meters per second.
position_drift_rate_vertical_m_s,Vertical position drift rate in meters per second.
position_reliant_on_gps,Indicates if the position is reliant on GPS.
position_reliant_on_optical_flow,Indicates if the position is reliant on optical flow.
position_reliant_on_vision_position,Indicates if the position is reliant on vision position.
power_input_valid,Indicates if the power input is valid.
pre_flt_fail_innov_heading,Indicates if there is a preflight failure due to heading innovation.
pre_flt_fail_innov_height,Indicates if there is a preflight failure due to height innovation.
pre_flt_fail_innov_vel_horiz,Indicates if there is a preflight failure due to horizontal velocity innovation.
pre_flt_fail_innov_vel_vert,Indicates if there is a preflight failure due to vertical velocity innovation.
pre_flt_fail_mag_field_disturbed,Indicates if there is a preflight failure due to disturbed magnetic field.
prearmed,Indicates if the system is prearmed.
pressure,Pressure data.
previous._padding0[0],"Padding for the previous element, index 0."
previous._padding0[1],"Padding for the previous element, index 1."
previous._padding0[2],"Padding for the previous element, index 2."
previous._padding0[3],"Padding for the previous element, index 3."
previous._padding0[4],"Padding for the previous element, index 4."
previous._padding0[5],"Padding for the previous element, index 5."
previous.acceptance_radius,Acceptance radius for the previous waypoint.
previous.alt,Altitude for the previous waypoint.
previous.alt_valid,Indicates if the altitude for the previous waypoint is valid.
previous.cruising_speed,Cruising speed for the previous waypoint.
previous.cruising_throttle,Cruising throttle for the previous waypoint.
previous.disable_weather_vane,Indicates if the weather vane is disabled for the previous waypoint.
previous.landing_gear,Landing gear status for the previous waypoint.
previous.lat,Latitude for the previous waypoint.
previous.loiter_direction,Loiter direction for the previous waypoint.
previous.loiter_radius,Loiter radius for the previous waypoint.
previous.lon,Longitude for the previous waypoint.
previous.timestamp,Timestamp for the previous waypoint.
previous.type,Type of the previous waypoint.
previous.valid,Indicates if the previous waypoint is valid.
previous.velocity_frame,Velocity frame for the previous waypoint.
previous.velocity_valid,Indicates if the velocity data for the previous waypoint is valid.
previous.vx,Velocity along the x-axis for the previous waypoint.
previous.vy,Velocity along the y-axis for the previous waypoint.
previous.vz,Velocity along the z-axis for the previous waypoint.
previous.yaw,Yaw for the previous waypoint.
previous.yaw_valid,Indicates if the yaw data for the previous waypoint is valid.
previous.yawspeed,Yaw speed for the previous waypoint.
previous.yawspeed_valid,Indicates if the yaw speed data for the previous waypoint is valid.
primary_instance,Primary instance of the system.
priority,Priority level.
q[0],Quaternion component 0.
q[1],Quaternion component 1.
q[2],Quaternion component 2.
q[3],Quaternion component 3.
q_d[0],Desired quaternion component 0.
q_d[1],Desired quaternion component 1.
q_d[2],Desired quaternion component 2.
q_d[3],Desired quaternion component 3.
quat_reset_counter,Quaternion reset counter.
r,Radius value.
ram_usage,RAM usage.
rate_multiplier,Rate multiplier.
rc_calibration_in_progress,Indicates if RC calibration is in progress.
rc_calibration_valid,Indicates if RC calibration is valid.
rc_signal_found_once,Indicates if RC signal was found once.
rc_signal_lost,Indicates if RC signal is lost.
ready_to_arm,Indicates if the system is ready to arm.
ref_alt,Reference altitude.
ref_lat,Reference latitude.
ref_lon,Reference longitude.
ref_timestamp,Reference timestamp.
reject_airspeed,Indicates if airspeed is rejected.
reject_hagl,Indicates if height above ground level is rejected.
reject_hor_pos,Indicates if horizontal position is rejected.
reject_hor_vel,Indicates if horizontal velocity is rejected.
reject_mag_x,Indicates if magnetometer x-axis is rejected.
reject_mag_y,Indicates if magnetometer y-axis is rejected.
reject_mag_z,Indicates if magnetometer z-axis is rejected.
reject_optflow_x,Indicates if optical flow x-axis is rejected.
reject_optflow_y,Indicates if optical flow y-axis is rejected.
reject_sideslip,Indicates if sideslip is rejected.
reject_ver_pos,Indicates if vertical position is rejected.
reject_ver_vel,Indicates if vertical velocity is rejected.
reject_yaw,Indicates if yaw is rejected.
relative_test_ratio[0],Relative test ratio for component 0.
relative_test_ratio[1],Relative test ratio for component 1.
relative_test_ratio[2],Relative test ratio for component 2.
relative_test_ratio[3],Relative test ratio for component 3.
relative_test_ratio[4],Relative test ratio for component 4.
relative_test_ratio[5],Relative test ratio for component 5.
relative_test_ratio[6],Relative test ratio for component 6.
relative_test_ratio[7],Relative test ratio for component 7.
relative_test_ratio[8],Relative test ratio for component 8.
remaining,Remaining capacity.
remaining_capacity_wh,Remaining capacity in watt-hours.
reset_count_pod_d,Reset count for position down.
reset_count_pos_ne,Reset count for position north-east.
reset_count_quat,Reset count for quaternion.
reset_count_vel_d,Reset count for velocity down.
reset_count_vel_ne,Reset count for velocity north-east.
reset_pos_to_gps,Indicates if position is reset to GPS.
reset_pos_to_last_known,Indicates if position is reset to the last known value.
reset_pos_to_vision,Indicates if position is reset to vision.
reset_vel_to_flow,Indicates if velocity is reset to flow.
reset_vel_to_gps,Indicates if velocity is reset to GPS.
reset_vel_to_vision,Indicates if velocity is reset to vision.
reset_vel_to_zero,Indicates if velocity is reset to zero.
rho,Rho value.
rng_vpos,Vertical position from range finder.
roll,Roll angle.
roll_body,Body roll angle.
roll_reset_integral,Roll reset integral.
rollspeed_integ,Integrated roll speed.
rx_buffer_overruns,Count of receiver buffer overruns.
rx_message_count,Count of received messages.
rx_message_lost_count,Count of lost messages.
rx_message_lost_rate,Rate of lost messages.
rx_packet_drop_count,Count of dropped packets.
rx_parse_errors,Count of parse errors.
rx_rate_avg,Average receive rate.
s_variance_m_s,Variance of speed in meters per second.
safe_time_estimate,Safe time estimate.
safety_off,Indicates if safety is off.
safety_switch_available,Indicates if the safety switch is available.
samples,Count of samples.
satellites_used,Number of satellites used.
scale,Scale factor.
sd_card_detected_once,Indicates if the SD card was detected once.
selected,Indicates if the component is selected.
seq_current,Current sequence number.
seq_reached,Indicates if the sequence is reached.
seq_total,Total number of sequences.
serial_number,Serial number.
signal_quality,Quality of the signal.
soft_stop,Indicates if a soft stop is in progress.
solution_status_flags,Flags indicating the status of the solution.
source,Source of the data.
source_component,Source component ID.
source_system,Source system ID.
speed_down,Speed of descent.
speed_up,Speed of ascent.
starting_gps_fusion,Indicates if GPS fusion is starting.
starting_vision_pos_fusion,Indicates if vision position fusion is starting.
starting_vision_vel_fusion,Indicates if vision velocity fusion is starting.
starting_vision_yaw_fusion,Indicates if vision yaw fusion is starting.
state_of_health,State of health of the system.
states[0],State component 0.
states[10],State component 10.
states[11],State component 11.
states[12],State component 12.
states[13],State component 13.
states[14],State component 14.
states[15],State component 15.
states[16],State component 16.
states[17],State component 17.
states[18],State component 18.
states[19],State component 19.
states[1],State component 1.
states[20],State component 20.
states[21],State component 21.
states[22],State component 22.
states[23],State component 23.
states[2],State component 2.
states[3],State component 3.
states[4],State component 4.
states[5],State component 5.
states[6],State component 6.
states[7],State component 7.
states[8],State component 8.
states[9],State component 9.
stay_in_failsafe,Indicates if the system should stay in failsafe mode.
sticks_moving,Indicates if the sticks are moving.
stopping_mag_use,Indicates if magnetometer use is stopping.
stopping_navigation,Indicates if navigation is stopping.
streams,Data streams.
system_hotplug_timeout,Timeout for system hotplug.
system_id,System ID.
system_sensors_initialized,Indicates if system sensors are initialized.
system_type,Type of system.
takeoff_state,Takeoff state.
takeoff_time,Takeoff time.
target_component,Target component ID.
target_system,Target system ID.
tas_test_ratio,Test ratio for true airspeed.
temperature,Temperature data.
temperature_accel,Accelerometer temperature.
temperature_gyro,Gyroscope temperature.
terrain_alt,Altitude of terrain.
terrain_alt_valid,Indicates if the terrain altitude is valid.
thrust[0],Thrust value for the first component.
thrust[1],Thrust value for the second component.
thrust[2],Thrust value for the third component.
thrust_body[0],Body thrust along the x-axis.
thrust_body[1],Body thrust along the y-axis.
thrust_body[2],Body thrust along the z-axis.
thrust_setpoint_achieved,Indicates if the thrust setpoint is achieved.
tilt_limit,Tilt limit.
time_estimate,Time estimate.
time_remaining_s,Time remaining in seconds.
time_slip,Time slip.
time_utc_usec,Timestamp in microseconds since UTC.
timeout_flags,Flags indicating timeouts.
timestamp,Timestamp.
timestamp_sample,Timestamp sample.
timestamp_time_relative,Timestamp relative to time.
torque_setpoint_achieved,Indicates if the torque setpoint is achieved.
tx_buffer_overruns,Count of transmitter buffer overruns.
tx_error_rate_avg,Average error rate for transmission.
tx_message_count,Count of transmitted messages.
tx_rate_avg,Average transmission rate.
type,Type of data.
unallocated_thrust[0],Unallocated thrust for the first component.
unallocated_thrust[1],Unallocated thrust for the second component.
unallocated_thrust[2],Unallocated thrust for the third component.
unallocated_torque[0],Unallocated torque for the first component.
unallocated_torque[1],Unallocated torque for the second component.
unallocated_torque[2],Unallocated torque for the third component.
usb_connected,Indicates if USB is connected.
v_fov,Vertical field of view.
v_xy_valid,Indicates if the horizontal velocity data is valid.
v_z_valid,Indicates if the vertical velocity data is valid.
valid,Indicates if the data is valid.
valid_alt,Indicates if the altitude data is valid.
valid_hpos,Indicates if the horizontal position data is valid.
valid_lpos,Indicates if the local position data is valid.
var_accel[0],Variance of the accelerometer along the x-axis.
var_accel[1],Variance of the accelerometer along the y-axis.
var_accel[2],Variance of the accelerometer along the z-axis.
var_gyro[0],Variance of the gyroscope along the x-axis.
var_gyro[1],Variance of the gyroscope along the y-axis.
var_gyro[2],Variance of the gyroscope along the z-axis.
variance,Variance data.
vdop,Vertical dilution of precision.
vehicle_air_data_timestamp_rel,Relative timestamp for vehicle air data.
vehicle_magnetometer_timestamp_rel,Relative timestamp for vehicle magnetometer data.
vehicle_type,Type of vehicle.
vel_d_m_s,Velocity down in meters per second.
vel_e_m_s,Velocity east in meters per second.
vel_m_s,Velocity in meters per second.
vel_n_m_s,Velocity north in meters per second.
vel_ned_valid,Indicates if velocity in NED frame is valid.
vel_test_ratio,Test ratio for velocity.
velocity,Velocity data.
vertical_movement,Indicates if there is vertical movement.
vision_data_stopped,Indicates if vision data has stopped.
visual_odometry_timestamp_rel,Relative timestamp for visual odometry data.
voltage_cell_v[0],Voltage of cell 0 in volts.
voltage_cell_v[10],Voltage of cell 10 in volts.
voltage_cell_v[11],Voltage of cell 11 in volts.
voltage_cell_v[12],Voltage of cell 12 in volts.
voltage_cell_v[13],Voltage of cell 13 in volts.
voltage_cell_v[1],Voltage of cell 1 in volts.
voltage_cell_v[2],Voltage of cell 2 in volts.
voltage_cell_v[3],Voltage of cell 3 in volts.
voltage_cell_v[4],Voltage of cell 4 in volts.
voltage_cell_v[5],Voltage of cell 5 in volts.
voltage_cell_v[6],Voltage of cell 6 in volts.
voltage_cell_v[7],Voltage of cell 7 in volts.
voltage_cell_v[8],Voltage of cell 8 in volts.
voltage_cell_v[9],Voltage of cell 9 in volts.
voltage_filtered_v,Filtered voltage in volts.
voltage_v,Voltage in volts.
vtol_fw_permanent_stab,Indicates if VTOL forward permanent stabilization is enabled.
vtol_transition_failure,Indicates if there is a VTOL transition failure.
vx,Velocity along the x-axis.
vxy_max,Maximum horizontal velocity.
vxy_reset_counter,Reset counter for horizontal velocity.
vy,Velocity along the y-axis.
vz,Velocity along the z-axis.
vz_max,Maximum vertical velocity.
vz_reset_counter,Reset counter for vertical velocity.
want_takeoff,Indicates if takeoff is desired.
warning,Warning message.
warning_event_changes,Changes in warning events.
weight[0],Weight value for component 0.
weight[1],Weight value for component 1.
weight[2],Weight value for component 2.
weight[3],Weight value for component 3.
weight[4],Weight value for component 4.
x,Position along the x-axis.
xy_global,Indicates if global XY position is valid.
xy_reset_counter,Reset counter for XY position.
xy_valid,Indicates if XY position is valid.
xyz[0],Position along the x-axis.
xyz[1],Position along the y-axis.
xyz[2],Position along the z-axis.
y,Position along the y-axis.
yaw,Yaw angle.
yaw[0],Yaw angle component 0.
yaw[1],Yaw angle component 1.
yaw[2],Yaw angle component 2.
yaw[3],Yaw angle component 3.
yaw[4],Yaw angle component 4.
yaw_aligned_to_imu_gps,Indicates if yaw is aligned to IMU GPS.
yaw_body,Body yaw angle.
yaw_composite,Composite yaw angle.
yaw_reset_integral,Integral of yaw reset.
yaw_sp_move_rate,Yaw setpoint move rate.
yaw_variance,Yaw variance.
yawspeed,Yaw speed.
yawspeed_integ,Integral of yaw speed.
z,Position along the z-axis.
z_deriv,Derivative of position along the z-axis.
z_global,Indicates if global Z position is valid.
z_reset_counter,Reset counter for Z position.
z_valid,Indicates if Z position is valid.
message_type,Type of message.
