parameter,description
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED1,uint8 = 201 # Registered for STorM32 gimbal controller
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED2,uint8 = 202 # Registered for STorM32 gimbal controller
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED6,uint8 = 206 # Registered for STorM32 gimbal controller
payload_length,uint8 # Length of the data transported in payload
payload,uint8[128] # Data itself
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED3,uint8 = 203 # Registered for STorM32 gimbal controller
payload_type,uint16 # A code that identifies the content of the payload (0 for unknown; which is the default). If this code is less than 32768; it is a 'registered' payload type and the corresponding code should be added to the MAV_TUNNEL_PAYLOAD_TYPE enum. Software creators can register blocks of types as needed. Codes greater than 32767 are considered local experiments and should not be checked in to any widely distributed codebase.
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED5,uint8 = 205 # Registered for STorM32 gimbal controller
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED7,uint8 = 207 # Registered for STorM32 gimbal controller
innov_test_ratio,float32 # normalized innovation squared test ratio
bias_var,float32 # estimated barometric altitude bias variance (m^2)
innov_var,float32 # innovation variance of the last measurement fusion (m^2)
bias,float32 # estimated barometric altitude bias (m)
innov,float32 # innovation of the last measurement fusion (m)
offset_z,float32 # UWB initiator offset in Z axis (NED drone frame)
aoa_azimuth_fom,uint8 # AOA Azimuth FOM
aoa_azimuth_resp,float32 # Angle of arrival of first incomming RX msg at the responder
offset_x,float32 # UWB initiator offset in X axis (NED drone frame)
distance,float32 # distance in m to the UWB receiver
nlos,uint8 # None line of site condition y/n
sessionid,uint32 # UWB SessionID
aoa_dest_elevation_fom,uint8 # AOA Elevation FOM
mac,uint16 # MAC adress of Initiator (controller)
orientation,uint8 # Direction the sensor faces from MAV_SENSOR_ORIENTATION enum
offset_y,float32 # UWB initiator offset in Y axis (NED drone frame)
mac_dest,uint16 # MAC adress of Responder (Controlee)
aoa_azimuth_dev,float32 # Angle of arrival of first incomming RX msg
aoa_elevation_fom,uint8 # AOA Elevation FOM
aoa_elevation_dev,float32 # Angle of arrival of first incomming RX msg
status,uint16 # status feedback #
aoa_elevation_resp,float32 # Angle of arrival of first incomming RX msg at the responder
time_offset,uint32 # Time between Ranging Rounds in ms
aoa_dest_azimuth_fom,uint8 # AOA Azimuth FOM
accel_healthy,bool[4] 
gyro_healthy,bool[4] 
gyro_priority,uint8[4] 
accel_priority,uint8[4] 
accel_device_id_primary,uint32 # current primary accel device id for reference
accel_inconsistency_m_s_s,float32[4] # magnitude of acceleration difference between IMU instance and mean in m/s^2.
gyro_inconsistency_rad_s,float32[4] # magnitude of angular rate difference between IMU instance and mean in (rad/s).
gyro_device_id_primary,uint32 # current primary gyro device id for reference
UNKNOWN_ABORT_CRITERION,uint8 = 4
flaring,bool # true if the aircraft is flaring
TERRAIN_NOT_FOUND,uint8 = 2 # FW_LND_ABORT (1 << 0)
ABORTED_BY_OPERATOR,uint8 = 1
lateral_touchdown_offset,float32 # [m] lateral touchdown position offset manually commanded during landing
abort_status,uint8 
NOT_ABORTED,uint8 = 0
TERRAIN_TIMEOUT,uint8 = 3 # FW_LND_ABORT (1 << 1)
yaw_composite,float32 # composite yaw from GSF (rad)
yaw_composite_valid,bool 
innov_ve,float32[5] # East velocity innovation for each model in the filter bank (m/s)
innov_vn,float32[5] # North velocity innovation for each model in the filter bank (m/s)
weight,float32[5] # weighting for each model in the filter bank
yaw_variance,float32 # composite yaw variance from GSF (rad^2)
count,uint16 # count of the missions stored in the dataman
safe_points_update_counter,uint16 # indicates updates to the safe points; reload from dataman if increased
land_start_index,int32 # Index of the land start marker; if unavailable index of the land item; -1 otherwise
current_seq,int32 # default -1; start at the one changed latest
land_index,int32 # Index of the land item; -1 otherwise
mission_update_counter,uint16 # indicates updates to the mission; reload from dataman if increased
geofence_update_counter,uint16 # indicates updates to the geofence; reload from dataman if increased
dataman_id,uint8 # default 0; there are two offboard storage places in the dataman: 0 or 1
snr,uint8[20] # dBHz; Signal to noise ratio of satellite C/N0; range 0..99; zero when not tracking this satellite.
azimuth,uint8[20] # Direction of satellite; 0: 0 deg; 255: 360 deg.
prn,uint8[20] # Satellite PRN code assignment; (psuedorandom number SBAS; valid codes are 120-144)
SAT_INFO_MAX_SATELLITES,uint8 = 20
svid,uint8[20] # Space vehicle ID [1..255]; see scheme below
used,uint8[20] # 0: Satellite not used; 1: used for navigation
elevation,uint8[20] # Elevation (0: right on top of receiver; 90: on the horizon) of satellite
yaw_speed,float32 
position,float32[3] 
velocity,float32[3] 
point_valid,bool 
rbv,int16 
rp,int16 
al,int16 
rsv,int16 
rcal,int16 
rconf,int16 
power_w,float32 # power in watts; -1 if unknown
me,int16 
rc,int16 
voltage_v,float32 # Voltage in volts; 0 if unknown
current_a,float32 # Current in amperes; -1 if unknown
stale,bool # True if estimator stopped receiving follow_target messages for some time. The estimate can still be valid; though it might be inaccurate.
pos_est,float32[3] # Estimated target NED position (m)
fusion_count,uint64 
prediction_count,uint64 
lon_est,float64 # Estimated target longitude
last_filter_reset_timestamp,uint64 # time of last filter reset (microseconds)
alt_est,float32 # Estimated target altitude
acc_est,float32[3] # Estimated target NED acceleration (m^2/s)
vel_est,float32[3] # Estimated target NED velocity (m/s)
lat_est,float64 # Estimated target latitude
severity,uint8 # log level (same as in the linux kernel; starting with 0)
text,char[127] 
color,uint8 # see COLOR_*
COLOR_CYAN,uint8 = 7
MODE_BLINK_SLOW,uint8 = 3
MODE_ON,uint8 = 1 # turn LED on
COLOR_AMBER,uint8 = 6
COLOR_RED,uint8 = 1
COLOR_BLUE,uint8 = 3
MODE_DISABLED,uint8 = 2 # disable this priority (switch to lower priority setting)
COLOR_WHITE,uint8 = 8
MODE_BLINK_NORMAL,uint8 = 4
MODE_FLASH,uint8 = 7 # two fast blinks (on/off) with timing as in MODE_BLINK_FAST and then off for a while
COLOR_GREEN,uint8 = 2
led_mask,uint8 # bitmask which LED(s) to control; set to 0xff for all
MODE_OFF,uint8 = 0 # turn LED off
COLOR_PURPLE,uint8 = 5
MAX_PRIORITY,uint8 = 2 # maximum priority (minimum is 0)
MODE_BLINK_FAST,uint8 = 5
COLOR_YELLOW,uint8 = 4
COLOR_OFF,uint8 = 0 # this is only used in the drivers
MODE_BREATHE,uint8 = 6 # continuously increase & decrease brightness (solid color if driver does not support it)
num_blinks,uint8 # how many times to blink (number of on-off cycles if mode is one of MODE_BLINK_*) . Set to 0 for infinite
integration_timespan_us,uint32 # (microseconds) accumulation timespan in microseconds
quality,uint8 # quality; 0: bad quality; 255: maximum quality
MODE_SUPER_LOWLIGHT,uint8 = 3
delta_angle,float32[3] # (radians) accumulated gyro radians where a positive value is produced by a RH rotation about the body axis. Set to NaN if flow sensor does not have 3-axis gyro data.
MODE_LOWLIGHT,uint8 = 2
distance_m,float32 # (meters) Distance to the center of the flow field
min_ground_distance,float32 # (meters) Minimum distance from ground at which the optical flow sensor operates reliably
max_flow_rate,float32 # (radians/s) Magnitude of maximum angular which the optical flow sensor can measure reliably
distance_available,bool 
MODE_BRIGHT,uint8 = 1
pixel_flow,float32[2] # (radians) optical flow in radians where a positive value is produced by a RH rotation about the body axis
delta_angle_available,bool 
MODE_UNKNOWN,uint8 = 0
max_ground_distance,float32 # (meters) Maximum distance from ground at which the optical flow sensor operates reliably
gps_hpos,float32[2] # horizontal GPS position innovation (m) and innovation variance (m**2)
hagl_rate,float32 # height of ground rate innovation (m/s) and innovation variance ((m/s)**2)
gps_vpos,float32 # vertical GPS position innovation (m) and innovation variance (m**2)
ev_vvel,float32 # vertical external vision velocity innovation (m/sec) and innovation variance ((m/sec)**2)
beta,float32 # synthetic sideslip innovation (rad) and innovation variance (rad**2)
ev_hvel,float32[2] # horizontal external vision velocity innovation (m/sec) and innovation variance ((m/sec)**2)
ev_hpos,float32[2] # horizontal external vision position innovation (m) and innovation variance (m**2)
airspeed,float32 # airspeed innovation (m/sec) and innovation variance ((m/sec)**2)
aux_vvel,float32 # vertical auxiliary velocity innovation from landing target measurement (m/sec) and innovation variance ((m/sec)**2)
flow,float32[2] # flow innvoation (rad/sec) and innovation variance ((rad/sec)**2)
ev_vpos,float32 # vertical external vision position innovation (m) and innovation variance (m**2)
hagl,float32 # height of ground innovation (m) and innovation variance (m**2)
gravity,float32[3] # gravity innovation from accelerometerr vector (m/s**2)
aux_hvel,float32[2] # horizontal auxiliary velocity innovation from landing target measurement (m/sec) and innovation variance ((m/sec)**2)
terr_flow,float32[2] # flow innvoation (rad/sec) and innovation variance computed by the terrain estimator ((rad/sec)**2)
mag_field,float32[3] # earth magnetic field innovation (Gauss) and innovation variance (Gauss**2)
rng_vpos,float32 # range sensor height innovation (m) and innovation variance (m**2)
heading,float32 # heading innovation (rad) and innovation variance (rad**2)
baro_vpos,float32 # barometer height innovation (m) and innovation variance (m**2)
gps_vvel,float32 # vertical GPS velocity innovation (m/sec) and innovation variance ((m/sec)**2)
gps_hvel,float32[2] # horizontal GPS velocity innovation (m/sec) and innovation variance ((m/sec)**2)
drag,float32[2] # drag specific force innovation (m/sec**2) and innovation variance ((m/sec)**2)
squawk,uint16 # Squawk code
ADSB_EMITTER_TYPE_ULTRA_LIGHT=12,uint16 
icao_address,uint32 # ICAO address
ADSB_EMITTER_TYPE_HIGHLY_MANUV=6,uint16 
ver_velocity,float32 # The vertical velocity in m/s; positive is up
ADSB_EMITTER_TYPE_SMALL=2,uint16 
ADSB_EMITTER_TYPE_GLIDER=9,uint16 
ADSB_EMITTER_TYPE_SPACE=15,uint16 
ADSB_EMITTER_TYPE_EMERGENCY_SURFACE=17,uint16 
altitude,float32 # Altitude(ASL) in meters
ADSB_EMITTER_TYPE_UNASSIGNED2=13,uint16 
PX4_ADSB_FLAGS_VALID_COORDS,uint16 = 1
ADSB_EMITTER_TYPE_HEAVY=5,uint16 
ADSB_EMITTER_TYPE_LARGE=3,uint16 
ADSB_EMITTER_TYPE_LIGHTER_AIR=10,uint16 
ADSB_EMITTER_TYPE_UAV=14,uint16 
PX4_ADSB_FLAGS_VALID_HEADING,uint16 = 4
PX4_ADSB_FLAGS_VALID_ALTITUDE,uint16 = 2
ADSB_EMITTER_TYPE_ROTOCRAFT=7,uint16 
ADSB_EMITTER_TYPE_SERVICE_SURFACE=18,uint16 
ADSB_EMITTER_TYPE_LIGHT=1,uint16 
altitude_type,uint8 # Type from ADSB_ALTITUDE_TYPE enum
tslc,uint8 # Time since last communication in seconds
ADSB_EMITTER_TYPE_UNASSGINED3=16,uint16 
ADSB_EMITTER_TYPE_PARACHUTE=11,uint16 
ADSB_EMITTER_TYPE_NO_INFO=0,uint16 
PX4_ADSB_FLAGS_VALID_SQUAWK,uint16 = 32
ADSB_EMITTER_TYPE_ENUM_END=20,uint16 
callsign,char[9] # The callsign; 8+null
uas_id,uint8[18] # Unique UAS ID
PX4_ADSB_FLAGS_RETRANSLATE,uint16 = 256
ADSB_EMITTER_TYPE_POINT_OBSTACLE=19,uint16 
hor_velocity,float32 # The horizontal velocity in m/s
PX4_ADSB_FLAGS_VALID_VELOCITY,uint16 = 8
ADSB_EMITTER_TYPE_HIGH_VORTEX_LARGE=4,uint16 
ADSB_EMITTER_TYPE_UNASSIGNED=8,uint16 
PX4_ADSB_FLAGS_VALID_CALLSIGN,uint16 = 16
emitter_type,uint8 # Type from ADSB_EMITTER_TYPE enum
ACTION_UNKILL,uint8 = 3
ACTION_KILL,uint8 = 4
ACTION_TOGGLE_ARMING,uint8 = 2
ACTION_VTOL_TRANSITION_TO_FIXEDWING,uint8 = 7
SOURCE_RC_SWITCH,uint8 = 1
ACTION_SWITCH_MODE,uint8 = 5
SOURCE_RC_STICK_GESTURE,uint8 = 0
SOURCE_RC_BUTTON,uint8 = 2
ACTION_ARM,uint8 = 1
source,uint8 # how the request was triggered
action,uint8 # what action is requested
SOURCE_RC_MODE_SLOT,uint8 = 3
ACTION_VTOL_TRANSITION_TO_MULTICOPTER,uint8 = 6
ACTION_DISARM,uint8 = 0
return_value,int32 
return_sequence,uint32 
STATE_LAUNCH_DETECTED_DISABLED_MOTOR,uint8 = 1 # launch detected; but keep motor(s) disabled (e.g. because it can't spin freely while on catapult)
STATE_WAITING_FOR_LAUNCH,uint8 = 0 # waiting for launch
STATE_FLYING,uint8 = 2 # launch detected; use normal takeoff/flying configuration
launch_detection_state,uint8 
return_switch,uint8 # return to launch 2 position switch (mandatory): _NORMAL_; RTL
MODE_SLOT_1,uint8 = 1 # mode slot 1 selected
transition_switch,uint8 # VTOL transition switch: _HOVER; FORWARD_FLIGHT
MODE_SLOT_3,uint8 = 3 # mode slot 3 selected
engage_main_motor_switch,uint8 # Engage the main motor (for helicopters)
loiter_switch,uint8 # loiter 2 position switch (optional): _MISSION_; LOITER
MODE_SLOT_5,uint8 = 5 # mode slot 5 selected
MODE_SLOT_2,uint8 = 2 # mode slot 2 selected
switch_changes,uint32 # number of switch changes
SWITCH_POS_ON,uint8 = 1 # switch activated (value = 1)
gear_switch,uint8 # landing gear switch: _DOWN_; UP
MODE_SLOT_NONE,uint8 = 0 # no mode slot assigned
MODE_SLOT_NUM,uint8 = 6 # number of slots
MODE_SLOT_4,uint8 = 4 # mode slot 4 selected
photo_switch,uint8 # Photo trigger switch
MODE_SLOT_6,uint8 = 6 # mode slot 6 selected
offboard_switch,uint8 # offboard 2 position switch (optional): _NORMAL_; OFFBOARD
SWITCH_POS_NONE,uint8 = 0 # switch is not mapped
kill_switch,uint8 # throttle kill: _NORMAL_; KILL
arm_switch,uint8 # arm/disarm switch: _DISARMED_; ARMED
video_switch,uint8 # Photo trigger switch
mode_slot,uint8 # the slot a specific model selector is in
SWITCH_POS_MIDDLE,uint8 = 2 # middle position (value = 0)
SWITCH_POS_OFF,uint8 = 3 # switch not activated (value = -1)
track_error_bound,float32 # track error bound [m]
bearing,float32 # bearing angle [rad]
heading_ref,float32 # heading angle reference [rad]
lat_accel,float32 # resultant lateral acceleration reference [m/s^2]
airspeed_ref,float32 # (true) airspeed reference [m/s]
wind_est_valid,uint8 # (boolean) true = wind estimate is valid and/or being used by controller (also indicates if wind est usage is disabled despite being valid)
bearing_feas_on_track,float32 # on-track bearing feasibility [0;1]
adapted_period,float32 # adapted period (if auto-tuning enabled) [s]
signed_track_error,float32 # signed track error [m]
time_const,float32 # controller time constant [s]
bearing_feas,float32 # bearing feasibility [0;1]
lat_accel_ff,float32 # lateral acceleration demand only for maintaining curvature [m/s^2]
min_ground_speed_ref,float32 # minimum forward ground speed reference [m/s]
p_gain,float32 # controller proportional gain [rad/s]
FUNCTION_PARAM_3_5,uint8 = 16
FUNCTION_FLTBTN_SLOT_1,uint8 = 21
FUNCTION_PARAM_1,uint8 = 14
FUNCTION_FLAPS,uint8 = 7
FUNCTION_AUX_2,uint8 = 9
FUNCTION_PITCH,uint8 = 2
FUNCTION_AUX_6,uint8 = 13
channels,float32[18] # Scaled to -1..1 (throttle: 0..1)
FUNCTION_AUX_5,uint8 = 12
FUNCTION_FLTBTN_SLOT_4,uint8 = 24
function,int8[28] # Functions mapping
FUNCTION_GEAR,uint8 = 19
FUNCTION_OFFBOARD,uint8 = 6
FUNCTION_FLTBTN_SLOT_3,uint8 = 23
FUNCTION_FLTBTN_SLOT_5,uint8 = 25
rssi,uint8 # Receive signal strength index
FUNCTION_YAW,uint8 = 3
FUNCTION_ROLL,uint8 = 1
FUNCTION_LOITER,uint8 = 5
FUNCTION_KILLSWITCH,uint8 = 17
FUNCTION_ENGAGE_MAIN_MOTOR,uint8 = 27
channel_count,uint8 # Number of valid channels
FUNCTION_FLTBTN_SLOT_2,uint8 = 22
FUNCTION_TRANSITION,uint8 = 18
FUNCTION_ARMSWITCH,uint8 = 20
timestamp_last_valid,uint64 # Timestamp of last valid RC signal
FUNCTION_AUX_3,uint8 = 10
FUNCTION_PARAM_2,uint8 = 15
frame_drop_count,uint32 # Number of dropped frames
FUNCTION_RETURN,uint8 = 4
FUNCTION_AUX_4,uint8 = 11
signal_lost,bool # Control signal lost; should be checked together with topic timeout
FUNCTION_FLTBTN_SLOT_COUNT,uint8 = 6
FUNCTION_THROTTLE,uint8 = 0
FUNCTION_AUX_1,uint8 = 8
FUNCTION_FLTBTN_SLOT_6,uint8 = 26
roll_offset,float32 # angle offset in rad
ROI_WPINDEX,uint8 = 2 # Point toward given MISSION
ROI_LOCATION,uint8 = 3 # Point toward fixed location
ROI_TARGET,uint8 = 4 # Point toward target
ROI_WPNEXT,uint8 = 1 # Point toward next MISSION with optional offset
ROI_ENUM_END,uint8 = 5
ROI_NONE,uint8 = 0 # No region of interest
pitch_offset,float32 # angle offset in rad
yaw_offset,float32 # angle offset in rad
normalized_setpoint,float32 # [0; 1]
ROTATION_FORWARD_FACING,uint8 = 0 # MAV_SENSOR_ROTATION_NONE
current_distance,float32 # Current distance reading (in m)
ROTATION_YAW_45,uint8 = 1 # MAV_SENSOR_ROTATION_YAW_45
ROTATION_YAW_0,uint8 = 0 # MAV_SENSOR_ROTATION_NONE
ROTATION_RIGHT_FACING,uint8 = 2 # MAV_SENSOR_ROTATION_YAW_90
ROTATION_UPWARD_FACING,uint8 = 24 # MAV_SENSOR_ROTATION_PITCH_90
signal_quality,int8 # Signal quality in percent (0...100%); where 0 = invalid signal; 100 = perfect signal; and -1 = unknown signal quality.
ROTATION_CUSTOM,uint8 = 100 # MAV_SENSOR_ROTATION_CUSTOM
ROTATION_YAW_90,uint8 = 2 # MAV_SENSOR_ROTATION_YAW_90
ROTATION_YAW_270,uint8 = 6 # MAV_SENSOR_ROTATION_YAW_270
v_fov,float32 # Sensor vertical field of view (rad)
ROTATION_LEFT_FACING,uint8 = 6 # MAV_SENSOR_ROTATION_YAW_270
h_fov,float32 # Sensor horizontal field of view (rad)
ROTATION_YAW_225,uint8 = 5 # MAV_SENSOR_ROTATION_YAW_225
ROTATION_DOWNWARD_FACING,uint8 = 25 # MAV_SENSOR_ROTATION_PITCH_270
ROTATION_YAW_135,uint8 = 3 # MAV_SENSOR_ROTATION_YAW_135
ROTATION_BACKWARD_FACING,uint8 = 4 # MAV_SENSOR_ROTATION_YAW_180
ROTATION_YAW_315,uint8 = 7 # MAV_SENSOR_ROTATION_YAW_315
ROTATION_YAW_180,uint8 = 4 # MAV_SENSOR_ROTATION_YAW_180
variance,float32 # Measurement variance (in m^2); 0 for unknown / invalid readings
PARAM_TYPE_UINT8,uint8 = 1 # MAV_PARAM_TYPE_UINT8
message_type,uint8 # MAVLink message type: PARAM_REQUEST_READ; PARAM_REQUEST_LIST; PARAM_SET
NODE_ID_ALL,uint8 = 0 # MAV_COMP_ID_ALL
MESSAGE_TYPE_PARAM_REQUEST_LIST,uint8 = 21 # MAVLINK_MSG_ID_PARAM_REQUEST_LIST
int_value,int64 # current value if param_type is int-like
param_type,uint8 # MAVLink parameter type
MESSAGE_TYPE_PARAM_SET,uint8 = 23 # MAVLINK_MSG_ID_PARAM_SET
PARAM_TYPE_REAL32,uint8 = 9 # MAV_PARAM_TYPE_REAL32
real_value,float32 # current value if param_type is float-like
MESSAGE_TYPE_PARAM_REQUEST_READ,uint8 = 20 # MAVLINK_MSG_ID_PARAM_REQUEST_READ
PARAM_TYPE_INT64,uint8 = 8 # MAV_PARAM_TYPE_INT64
node_id,uint8 # UAVCAN node ID mapped from MAVLink component ID
RTCM_MSG_USED_USED,uint8 = 2
vel_m_s,float32 # GPS ground speed; (metres/sec)
automatic_gain_control,uint16 # Automatic gain control monitor
longitude_deg,float64 # Longitude in degrees; allows centimeter level RTK precision
time_utc_usec,uint64 # Timestamp (microseconds; UTC); this is the timestamp which comes from the gps module. It might be unavailable right after cold start; indicated by a value of 0
timestamp_time_relative,int32 # timestamp + timestamp_time_relative = Time of the UTC timestamp since system start; (microseconds)
spoofing_state,uint8 # indicates whether spoofing has been detected or suspected by the receivers. O: Unknown; 1: OK; 2: Warning; 3: Critical
latitude_deg,float64 # Latitude in degrees; allows centimeter level RTK precision
JAMMING_STATE_UNKNOWN,uint8 = 0
selected_rtcm_instance,uint8 # uorb instance that is being used for RTCM corrections
s_variance_m_s,float32 # GPS speed accuracy estimate; (metres/sec)
SPOOFING_STATE_INDICATED,uint8 = 2
fix_type,uint8 # 0-1: no fix; 2: 2D fix; 3: 3D fix; 4: RTCM code differential; 5: Real-Time Kinematic; float; 6: Real-Time Kinematic; fixed; 8: Extrapolated. Some applications will not use the value of this field unless it is at least two; so always correctly fill in the fix.
SPOOFING_STATE_MULTIPLE,uint8 = 3
satellites_used,uint8 # Number of satellites used
c_variance_rad,float32 # GPS course accuracy estimate; (radians)
vel_n_m_s,float32 # GPS North velocity; (metres/sec)
RTCM_MSG_USED_NOT_USED,uint8 = 1
heading_accuracy,float32 # heading accuracy (rad; [0; 2PI])
altitude_ellipsoid_m,float64 # Altitude above Ellipsoid; meters
jamming_indicator,int32 # indicates jamming is occurring
vel_ned_valid,bool # True if NED velocity is valid
cog_rad,float32 # Course over ground (NOT heading; but direction of movement); -PI..PI; (radians)
heading_offset,float32 # heading offset of dual antenna array in body frame. Set to NaN if not applicable. (rad; [-PI; PI])
JAMMING_STATE_CRITICAL,uint8 = 3
RTCM_MSG_USED_UNKNOWN,uint8 = 0
SPOOFING_STATE_NONE,uint8 = 1
rtcm_injection_rate,float32 # RTCM message injection rate Hz
noise_per_ms,int32 # GPS noise per millisecond
SPOOFING_STATE_UNKNOWN,uint8 = 0
altitude_msl_m,float64 # Altitude above MSL; meters
jamming_state,uint8 # indicates whether jamming has been detected or suspected by the receivers. O: Unknown; 1: OK; 2: Warning; 3: Critical
JAMMING_STATE_WARNING,uint8 = 2
vel_e_m_s,float32 # GPS East velocity; (metres/sec)
rtcm_crc_failed,bool # RTCM message CRC failure detected
hdop,float32 # Horizontal dilution of precision
rtcm_msg_used,uint8 # Indicates if the RTCM message was used successfully by the receiver
vdop,float32 # Vertical dilution of precision
JAMMING_STATE_OK,uint8 = 1
vel_d_m_s,float32 # GPS Down velocity; (metres/sec)
fix,uint16 # count of error corrected packets
remote_noise,uint8 # remote background noise level
rxerrors,uint16 # receive errors
txbuf,uint8 # how full the tx buffer is as a percentage
remote_rssi,uint8 # remote signal strength
noise,uint8 # background noise level
attitude_euler_angle,float32[3] # Attitude/direction of the mount as euler angles in rad
threat_level,uint8 
id,uint32 
altitude_minimum_delta,float32 
horizontal_minimum_delta,float32 
src,uint8 
time_to_minimum_delta,float32 
airspeed_sensor_measurement_valid,bool # True if data from at least one airspeed sensor is declared valid.
calibrated_ground_minus_wind_m_s,float32 # CAS calculated from groundspeed - windspeed; where windspeed is estimated based on a zero-sideslip assumption; set to NAN if invalid
calibrated_airspeed_m_s,float32 # calibrated airspeed in m/s (CAS; accounts for instrumentation errors); set to NAN if invalid
selected_airspeed_index,int8 # 1-3: airspeed sensor index; 0: groundspeed-windspeed; -1: airspeed invalid
true_ground_minus_wind_m_s,float32 # TAS calculated from groundspeed - windspeed; where windspeed is estimated based on a zero-sideslip assumption; set to NAN if invalid
len,uint16 # length of data
MAX_INSTANCES,uint8 = 2
clip_counter,uint8[3] # clip count per axis in the sample period
samples,uint8 # number of raw samples that went into this message
signature,uint16 
size_x,float32 #/** size of target along camera x-axis in units of tan(theta) **/
pos_y,float32 # tan(theta); where theta is the angle between the target and the camera center of projection in camera y-axis
pos_x,float32 # tan(theta); where theta is the angle between the target and the camera center of projection in camera x-axis
size_y,float32 #/** size of target along camera y-axis in units of tan(theta) **/
delta,float32 # time it should take to get to this waypoint; if this is the final waypoint (seconds)
altitude_is_relative,bool # true if altitude is relative from start point
loiter_exit_xtrack,bool # exit xtrack location: 0 for center of loiter wp; 1 for exit location
vtol_back_transition,bool # part of the vtol back transition sequence
loiter_radius,float32 # loiter radius in meters; 0 for a VTOL to hover; negative for counter-clockwise
sequence_current,uint16 # Sequence of the current mission item
nav_cmd,uint16 
time_inside,float32 # time that the MAV should stay inside the radius before advancing in seconds
origin,uint8 # mission item origin (onboard or mavlink)
instance_count,uint32 # Instance count of this mission. Increments monotonically whenever the mission is modified
force_heading,bool # heading needs to be reached
autocontinue,bool # true if next waypoint should follow after this one
acceptance_radius,float32 # default radius in which the mission is accepted as reached in meters
longitude,float32 
latitude,float32 
calibration_count,uint8 # Calibration changed counter. Monotonically increases whenever calibration changes.
magnetometer_ga,float32[3] # Magnetic field in the FRD body frame XYZ-axis in Gauss
cs_gps_yaw,bool # 22 - true when yaw (not ground course) data fusion from a GPS receiver is intended
cs_wind_dead_reckoning,bool # 30 - true if we are navigationg reliant on wind relative measurements
cs_mag_aligned_in_flight,bool # 23 - true when the in-flight mag field alignment has been completed
cs_ev_pos,bool # 12 - true when local position data fusion from external vision is intended
cs_ev_yaw_fault,bool # 36 - true when the EV heading has been declared faulty and is no longer being used
fault_status_changes,uint32 # number of filter fault status (fs) changes
reject_hor_vel,bool # 0 - true if horizontal velocity observations have been rejected
fs_bad_sideslip,bool # 6 - true if fusion of the synthetic sideslip constraint has encountered a numerical error
fs_bad_mag_z,bool # 2 - true if the fusion of the magnetometer Z-axis has encountered a numerical error
reject_optflow_y,bool # 12 - true if the Y optical flow observation has been rejected
cs_gnd_effect,bool # 20 - true when protection from ground effect induced static pressure rise is active
fs_bad_mag_x,bool # 0 - true if the fusion of the magnetometer X-axis has encountered a numerical error
cs_fuse_aspd,bool # 19 - true when airspeed measurements are being fused
cs_tilt_align,bool # 0 - true if the filter tilt alignment is complete
cs_fuse_beta,bool # 15 - true when synthetic sideslip measurements are being fused
cs_gravity_vector,bool # 34 - true when gravity vector measurements are being fused
fs_bad_acc_bias,bool # 15 - true if bad delta velocity bias estimates have been detected
cs_ev_hgt,bool # 14 - true when height data from external vision measurements is being fused
cs_mag_3d,bool # 5 - true if 3-axis magnetometer measurement fusion is intended
cs_gps_hgt,bool # 11 - true when GPS height is being fused as a primary height reference
cs_fake_pos,bool # 32 - true when fake position measurements are being fused
cs_wind,bool # 8 - true when wind velocity is being estimated
fs_bad_vel_n,bool # 9 - true if fusion of the North velocity has encountered a numerical error
reject_hagl,bool # 10 - true if the height above ground observation has been rejected
cs_inertial_dead_reckoning,bool # 29 - true if we are no longer fusing measurements that constrain horizontal velocity drift
fs_bad_acc_clipping,bool # 17 - true if delta velocity data contains clipping (asymmetric railing)
cs_rng_hgt,bool # 10 - true when range finder height is being fused as a primary height reference
cs_in_air,bool # 7 - true when the vehicle is airborne
reject_airspeed,bool # 8 - true if the airspeed observation has been rejected
reject_sideslip,bool # 9 - true if the synthetic sideslip observation has been rejected
cs_rng_kin_consistent,bool # 31 - true when the range finder kinematic consistency check is passing
cs_vehicle_at_rest,bool # 26 - true when the vehicle is at rest
fs_bad_mag_decl,bool # 4 - true if the fusion of the magnetic declination has encountered a numerical error
cs_mag_dec,bool # 6 - true if synthetic magnetic declination measurements fusion is intended
cs_ev_yaw,bool # 13 - true when yaw data from external vision measurements fusion is intended
cs_synthetic_mag_z,bool # 25 - true when we are using a synthesized measurement for the magnetometer Z component
cs_rng_fault,bool # 28 - true when the range finder has been declared faulty and is no longer being used
cs_fake_hgt,bool # 33 - true when fake height measurements are being fused
fs_bad_vel_e,bool # 10 - true if fusion of the East velocity has encountered a numerical error
fs_bad_pos_n,bool # 12 - true if fusion of the North position has encountered a numerical error
fs_bad_pos_d,bool # 14 - true if fusion of the Down position has encountered a numerical error
cs_ev_vel,bool # 24 - true when local frame velocity data fusion from external vision measurements is intended
cs_baro_hgt,bool # 9 - true when baro height is being fused as a primary height reference
fs_bad_acc_vertical,bool # 16 - true if bad vertical accelerometer data has been detected
cs_mag,bool # 35 - true if 3-axis magnetometer measurement fusion (mag states only) is intended
